# Average of top 6 groups by AUE, submissions 16, 2, 73, 27, 60, adn 40
# SAMPL ID, average logD, uncertainty in average logD (using statistical uncertainty)
# Results for batch 0
SAMPL5_015, -4.2, 0.7
SAMPL5_037, -4.4, 0.7
SAMPL5_061, -1.5, 0.7
SAMPL5_055, -2.7, 0.7
SAMPL5_045, -2.0, 0.7
SAMPL5_059, -1.3, 0.7
SAMPL5_003, 2.1, 0.7
SAMPL5_020, 0.1, 0.7
SAMPL5_068, 1.2, 0.7
SAMPL5_070, 4.4, 0.7
SAMPL5_080, -0.5, 0.7
SAMPL5_058, 1.5, 0.7
SAMPL5_017, 2.5, 0.7
# Results for batch 1
SAMPL5_060, -3.2, 0.7
SAMPL5_063, -5.8, 0.7
SAMPL5_056, -1.9, 0.7
SAMPL5_010, -3.4, 0.7
SAMPL5_005, 0.4, 0.7
SAMPL5_047, 0.5, 0.7
SAMPL5_046, -0.4, 0.7
SAMPL5_048, 0.2, 0.7
SAMPL5_090, 1.3, 0.7
SAMPL5_072, 2.9, 0.7
SAMPL5_071, -1.2, 0.7
SAMPL5_081, -4.7, 0.7
SAMPL5_011, 0.8, 0.7
SAMPL5_027, -0.2, 0.7
SAMPL5_026, -2.8, 0.7
SAMPL5_042, -0.7, 0.7
SAMPL5_021, 0.10, 0.7
SAMPL5_007, 2.3, 0.7
SAMPL5_044, 0.4, 0.8
SAMPL5_004, 3.3, 0.7
# Results for batch 2
SAMPL5_024, 1.7, 0.7
SAMPL5_033, 3.5, 0.7
SAMPL5_082, 5.9, 0.7
SAMPL5_084, 1.6, 0.7
SAMPL5_092, -0.7, 0.7
SAMPL5_065, -1.6, 0.7
SAMPL5_013, 1.4, 0.7
SAMPL5_019, 3.8, 0.7
SAMPL5_074, -7.7, 0.8
SAMPL5_088, -1.2, 0.7
SAMPL5_049, 1.4, 0.7
SAMPL5_002, 0.1, 0.7
SAMPL5_083, -8, 7
SAMPL5_006, -1.1, 0.7
SAMPL5_085, -0.9, 0.7
SAMPL5_067, 0.8, 0.7
SAMPL5_069, -0.6, 0.7
SAMPL5_086, 2.0, 0.7
SAMPL5_050, -4.2, 0.7
SAMPL5_075, -0.4, 0.7
