Molecule ID, Average Predicted, Experimental, AveErr, RMS, AUE, maxErr, Percent Correct Sign, error slope
SAMPL5_002, 0.40, 1.40, -0.10 +/- 0.3, 1.8 +/- 0.1, 1.6 +/- 0.2, 2.8 +/- 0.2, 40 +/- 9, 0.70 +/- 0.09
SAMPL5_003, 1.75, 1.90, -0.2 +/- 0.2, 1.2 +/- 0.2, 0.9 +/- 0.2, 3.8 +/- 0.8, 83 +/- 7, 1.07 +/- 0.09
SAMPL5_004, 3.17, 2.20, 0.10 +/- 0.2, 1.4 +/- 0.2, 1.1 +/- 0.2, 3.8 +/- 0.7, 100 +/- 0, 1.04 +/- 0.09
SAMPL5_005, -0.62, -0.86, 0.2 +/- 0.2, 1.4 +/- 0.1, 1.1 +/- 0.1, 2.8 +/- 0.2, 70 +/- 9, 0.93 +/- 0.08
SAMPL5_006, -1.80, -1.02, -0.8 +/- 0.4, 2.1 +/- 0.3, 1.7 +/- 0.2, 5.2 +/- 0.7, 80 +/- 7, 0.69 +/- 0.09
SAMPL5_007, 2.00, 1.40, 0.6 +/- 0.4, 2.0 +/- 0.3, 1.4 +/- 0.2, 4.6 +/- 0.4, 93 +/- 5, 1.0 +/- 0.1
SAMPL5_010, -4.16, -1.70, -2.5 +/- 0.4, 3.2 +/- 0.4, 2.6 +/- 0.3, 6.8 +/- 0.5, 100.0 +/- 0.1, 0.6 +/- 0.1
SAMPL5_011, -1.88, -2.96, 1.1 +/- 0.5, 3.0 +/- 0.4, 2.3 +/- 0.4, 7.0 +/- 0.6, 80 +/- 7, 0.56 +/- 0.09
SAMPL5_013, 0.11, -1.50, 1.6 +/- 0.5, 3.2 +/- 0.3, 2.8 +/- 0.3, 7 +/- 1, 37 +/- 9, 0.33 +/- 0.07
SAMPL5_015, -4.88, -2.20, -2.7 +/- 0.5, 3.9 +/- 0.5, 3.0 +/- 0.5, 8.9 +/- 0.6, 100 +/- 0, 0.48 +/- 0.08
SAMPL5_017, 3.03, 2.50, 0.5 +/- 0.4, 2.3 +/- 0.3, 1.8 +/- 0.3, 5.0 +/- 0.4, 93 +/- 5, 0.7 +/- 0.1
SAMPL5_019, 2.97, 1.20, 1.8 +/- 0.3, 2.4 +/- 0.2, 2.1 +/- 0.2, 4.7 +/- 0.4, 97 +/- 3, 0.54 +/- 0.08
SAMPL5_020, -0.30, 1.60, -1.9 +/- 0.4, 2.8 +/- 0.4, 2.1 +/- 0.3, 7.5 +/- 0.9, 47 +/- 9, 0.70 +/- 0.09
SAMPL5_021, 0.87, 1.20, -0.3 +/- 0.3, 1.6 +/- 0.2, 1.4 +/- 0.1, 3.8 +/- 0.6, 63 +/- 9, 0.67 +/- 0.08
SAMPL5_024, 2.07, 1.00, 1.1 +/- 0.3, 1.8 +/- 0.3, 1.4 +/- 0.2, 4.2 +/- 0.5, 97 +/- 3, 0.91 +/- 0.09
SAMPL5_026, -2.57, -2.60, 0.0 +/- 0.3, 1.8 +/- 0.2, 1.4 +/- 0.2, 4.3 +/- 0.4, 90 +/- 6, 0.87 +/- 0.09
SAMPL5_027, -0.55, -1.87, 1.3 +/- 0.4, 2.6 +/- 0.2, 2.3 +/- 0.2, 5.5 +/- 0.6, 43 +/- 9, 0.40 +/- 0.09
SAMPL5_033, 3.72, 1.80, 1.9 +/- 0.2, 2.2 +/- 0.2, 1.9 +/- 0.2, 4.1 +/- 0.2, 100 +/- 0, 0.59 +/- 0.08
SAMPL5_037, -4.93, -1.50, -3.4 +/- 0.4, 4.0 +/- 0.3, 3.6 +/- 0.3, 6.2 +/- 0.1, 97 +/- 3, 0.30 +/- 0.09
