Submission Number, AveErr, RMS, AUE, tau, R, maxErr, Percent Correct Sign, error slope, CorrectLipinski, compare slope
01, 2.3 +/- 0.8, 5.1 +/- 0.5, 4.3 +/- 0.5, 0.1 +/- 0.1, 0.2 +/- 0.2, 9.8 +/- 0.5, 55 +/- 8, 0.44 +/- 0.09, 0.52 +/- 0.08, 0.2 +/- 0.4
02, -0.5 +/- 0.3, 2.0 +/- 0.2, 1.6 +/- 0.2, 0.5 +/- 0.1, 0.66 +/- 0.09, 4.6 +/- 0.4, 79 +/- 7, 0.69 +/- 0.09, 0.76 +/- 0.07, 1.0 +/- 0.2
03, -8 +/- 3, 21 +/- 3, 16 +/- 2, 0.5 +/- 0.1, 0.6 +/- 0.1, 44 +/- 2, 64 +/- 9, 0.0000 +/- 0.0002, 0.42 +/- 0.08, 8 +/- 2
05, -7.9 +/- 0.6, 8.6 +/- 0.6, 7.9 +/- 0.6, 0.2 +/- 0.1, 0.3 +/- 0.2, 17 +/- 1, 58 +/- 9, 0.25 +/- 0.05, 0.52 +/- 0.09, 1.8 +/- 0.8
06, 1.1 +/- 0.6, 3.6 +/- 0.3, 3.0 +/- 0.3, 0.5 +/- 0.1, 0.7 +/- 0.1, 7.3 +/- 0.7, 73 +/- 8, 0.6 +/- 0.1, 0.64 +/- 0.08, 1.4 +/- 0.4
07, -0.4 +/- 0.5, 2.8 +/- 0.4, 2.1 +/- 0.3, 0.3 +/- 0.1, 0.5 +/- 0.1, 8 +/- 1, 79 +/- 7, 0.34 +/- 0.09, 0.85 +/- 0.06, 1.1 +/- 0.3
08, -1.7 +/- 0.4, 2.9 +/- 0.5, 2.0 +/- 0.4, 0.68 +/- 0.07, 0.77 +/- 0.05, 9 +/- 1, 88 +/- 6, 0.7 +/- 0.1, 0.79 +/- 0.07, 1.8 +/- 0.3
09, 6.2 +/- 0.7, 7.6 +/- 0.8, 6.3 +/- 0.7, -0.2 +/- 0.1, -0.3 +/- 0.1, 20 +/- 3, 42 +/- 9, 0.35 +/- 0.09, 0.73 +/- 0.08, -1.4 +/- 0.5
10, 0.3 +/- 0.4, 2.4 +/- 0.2, 2.0 +/- 0.2, 0.56 +/- 0.09, 0.71 +/- 0.09, 4.9 +/- 0.4, 73 +/- 7, 0.92 +/- 0.09, 0.67 +/- 0.08, 1.3 +/- 0.2
11, -7 +/- 3, 17 +/- 3, 9 +/- 2, 0.60 +/- 0.09, 0.67 +/- 0.08, 44 +/- 3, 79 +/- 7, 0.36 +/- 0.09, 0.82 +/- 0.07, 7 +/- 1
