group letter,	number molecules,	AveErr,	 dAveErr,	RMS,	 dRMS,	AUE,	 dAUE,	maxErr,	 dmaxErr,	percent,	 dpercent,	error slope,	 derror slope,	functional group name
a,	3,	1.346,	 0.937,	7.987,	 1.093,	5.469,	 0.721,	27.401,	 3.557,	55.003,	 5.707,	0.389,	 0.064,	1-2-aminoalcohol
b,	1,	-3.414,	 0.893,	7.865,	 0.473,	7.037,	 0.432,	17.365,	 0.969,	85.714,	 4.405,	0.086,	 0.036,	1-2-diol
c,	3,	-0.081,	 0.804,	6.435,	 0.632,	5.087,	 0.490,	18.957,	 2.003,	62.994,	 6.007,	0.452,	 0.056,	acetal
d,	4,	0.511,	 0.941,	7.721,	 1.049,	5.570,	 0.650,	25.827,	 3.056,	74.102,	 5.327,	0.379,	 0.054,	alkene
e,	11,	0.863,	 0.691,	5.805,	 0.818,	4.176,	 0.500,	21.280,	 3.421,	62.743,	 5.385,	0.466,	 0.060,	alkyl aryl ether
f,	1,	-6.411,	 1.618,	15.430,	 1.827,	9.239,	 1.426,	39.387,	 0.681,	82.895,	 4.324,	0.394,	 0.058,	alpha-aminoacid
g,	51,	0.340,	 0.688,	5.971,	 0.759,	4.076,	 0.521,	18.333,	 1.601,	66.766,	 5.241,	0.530,	 0.061,	aromatic compound
h,	1,	2.418,	 0.392,	4.054,	 0.371,	2.977,	 0.333,	9.221,	 0.253,	94.118,	 2.821,	0.678,	 0.075,	aryl bromide
i,	4,	0.790,	 0.486,	4.134,	 0.525,	3.091,	 0.348,	13.216,	 1.756,	52.381,	 5.359,	0.572,	 0.061,	aryl chloride
j,	2,	0.606,	 0.466,	3.788,	 0.615,	2.558,	 0.348,	15.285,	 2.774,	42.763,	 5.117,	0.759,	 0.064,	aryl fluoride
k,	2,	1.677,	 0.433,	3.810,	 0.341,	2.940,	 0.295,	9.345,	 0.383,	48.529,	 6.175,	0.617,	 0.068,	carbonitrile
l,	5,	-4.023,	 1.741,	15.038,	 2.200,	8.177,	 1.528,	42.892,	 0.931,	75.697,	 4.994,	0.489,	 0.064,	carboxylic acid
m,	3,	-0.664,	 0.826,	6.560,	 0.638,	5.398,	 0.478,	19.607,	 2.429,	58.201,	 6.066,	0.395,	 0.052,	carboxylic acid ester
n,	1,	0.997,	 0.575,	4.691,	 0.550,	3.320,	 0.423,	14.211,	 1.209,	71.429,	 5.686,	0.595,	 0.074,	carboxylic acid imide- N-unsubstituted
o,	3,	1.371,	 0.516,	4.520,	 0.525,	3.388,	 0.379,	13.339,	 1.062,	74.074,	 4.875,	0.529,	 0.059,	cation
p,	7,	0.224,	 0.859,	7.279,	 0.933,	5.207,	 0.603,	23.412,	 2.296,	55.930,	 5.851,	0.384,	 0.058,	dialkyl ether
q,	1,	-1.411,	 1.316,	10.249,	 0.849,	8.543,	 0.723,	27.466,	 2.867,	71.429,	 5.887,	0.268,	 0.051,	enamine
r,	1,	-1.411,	 1.316,	10.249,	 0.849,	8.543,	 0.723,	27.466,	 2.867,	71.429,	 5.887,	0.268,	 0.051,	enol ether
s,	1,	1.642,	 0.577,	4.765,	 0.742,	2.952,	 0.479,	16.067,	 1.159,	58.730,	 6.414,	0.660,	 0.066,	halogen derivative
t,	47,	0.045,	 0.684,	5.989,	 0.749,	4.061,	 0.522,	18.017,	 1.373,	67.063,	 5.223,	0.546,	 0.062,	heterocyclic compound
u,	1,	-1.411,	 1.316,	10.249,	 0.849,	8.543,	 0.723,	27.466,	 2.867,	71.429,	 5.887,	0.268,	 0.051,	hydrazine derivative
v,	2,	-0.271,	 1.005,	7.832,	 0.931,	6.073,	 0.621,	25.637,	 3.892,	35.714,	 6.094,	0.407,	 0.058,	ketone
w,	5,	0.517,	 0.432,	3.772,	 0.406,	2.708,	 0.308,	11.472,	 0.890,	70.882,	 5.228,	0.671,	 0.063,	oxo(het)arene
x,	5,	0.638,	 0.754,	6.223,	 0.585,	5.043,	 0.448,	17.152,	 1.985,	65.881,	 5.517,	0.371,	 0.057,	phenol or hydroxyhetarene
y,	3,	-0.169,	 0.687,	5.831,	 0.637,	4.440,	 0.455,	16.538,	 1.111,	70.899,	 5.572,	0.441,	 0.055,	primary alcohol
z,	5,	0.593,	 0.476,	4.385,	 0.353,	3.618,	 0.299,	11.532,	 0.975,	55.809,	 5.557,	0.480,	 0.055,	primary amine
aa,	5,	0.593,	 0.476,	4.385,	 0.353,	3.618,	 0.299,	11.532,	 0.975,	55.809,	 5.557,	0.480,	 0.055,	primary aromatic amine
bb,	5,	-0.157,	 1.004,	8.415,	 0.920,	6.397,	 0.663,	25.407,	 2.901,	64.430,	 5.483,	0.305,	 0.056,	secondary alcohol
cc,	6,	-1.245,	 1.110,	9.915,	 1.481,	6.239,	 0.912,	33.647,	 2.824,	63.905,	 5.303,	0.387,	 0.062,	secondary aliphatic amine (dialkylamine)
dd,	5,	-0.914,	 0.915,	8.636,	 1.079,	5.380,	 0.804,	22.897,	 0.632,	76.176,	 4.092,	0.486,	 0.064,	secondary aliphatic/aromatic amine (alkylarylamine)
ee,	14,	-0.687,	 0.956,	8.746,	 1.203,	5.496,	 0.808,	26.674,	 1.622,	72.741,	 4.562,	0.463,	 0.063,	secondary amine
ff,	3,	0.808,	 0.719,	6.589,	 0.853,	4.202,	 0.608,	19.022,	 0.867,	84.687,	 3.861,	0.577,	 0.062,	secondary aromatic amine (diarylamine)
gg,	1,	-5.535,	 1.422,	13.687,	 2.116,	7.748,	 1.316,	44.503,	 1.868,	85.526,	 3.835,	0.494,	 0.070,	sulfuric acid diamide
hh,	1,	0.869,	 0.693,	5.416,	 1.013,	3.603,	 0.519,	23.809,	 4.918,	0.000,	 6.300,	0.545,	 0.066,	tertiary alcohol
ii,	9,	-0.078,	 0.933,	7.755,	 1.192,	5.422,	 0.669,	28.770,	 4.144,	63.469,	 5.363,	0.368,	 0.057,	tertiary aliphatic amine (trialkylamine)
jj,	2,	0.645,	 0.521,	4.272,	 0.447,	3.349,	 0.332,	13.377,	 1.519,	51.424,	 6.022,	0.513,	 0.057,	tertiary aliphatic/aromatic amine (alkylarylamine)
kk,	11,	0.053,	 0.858,	7.121,	 1.057,	5.045,	 0.608,	25.971,	 3.666,	61.279,	 5.483,	0.394,	 0.057,	tertiary amine
ll,	2,	1.312,	 0.454,	4.019,	 0.517,	2.755,	 0.358,	13.590,	 1.323,	63.235,	 5.958,	0.637,	 0.066,	thioether
zz,	53,	0.158,	 0.712,	6.213,	 0.802,	4.206,	 0.544,	19.219,	 1.631,	67.275,	 5.214,	0.525,	 0.061,	z_all
