# SAMPL ID, logD, stat unc., model unc., dF wat, ddF wat, dF cyc, ddF cyc
SAMPL5_002, 2.16, 0.04, 1.4, -46.9, 0.1, -59.2, 0.2
SAMPL5_003, 1.98, 0.03, 1.4, -40.8, 0.1, -52.0, 0.2
SAMPL5_004, 4.50, 0.04, 1.4, -40.2, 0.1, -65.9, 0.2
SAMPL5_005, 1.04, 0.04, 1.4, -63.0, 0.2, -69.0, 0.2
SAMPL5_006, 1.34, 0.03, 1.4, -41.5, 0.1, -49.2, 0.2
SAMPL5_007, 4.64, 0.04, 1.4, -40.4, 0.1, -66.9, 0.2
SAMPL5_010, -1.39, 0.03, 1.4, -62.9, 0.1, -55.0, 0.2
SAMPL5_011, 1.72, 0.03, 1.4, -48.9, 0.1, -58.8, 0.2
SAMPL5_013, 1.10, 0.04, 1.4, -77.2, 0.1, -83.5, 0.2
SAMPL5_015, -0.84, 0.03, 1.4, -60.1, 0.1, -55.3, 0.1
SAMPL5_017, 6.25, 0.04, 1.4, -36.4, 0.1, -72.1, 0.2
SAMPL5_019, 2.88, 0.04, 1.4, -54.8, 0.1, -71.2, 0.2
SAMPL5_020, -3.85, 0.04, 1.4, -81.3, 0.1, -59.3, 0.2
SAMPL5_021, 3.30, 0.03, 1.4, -39.5, 0.1, -58.3, 0.2
SAMPL5_024, 0.49, 0.04, 1.4, -77.1, 0.1, -80.0, 0.2
SAMPL5_026, -1.71, 0.04, 1.4, -58.4, 0.2, -48.7, 0.2
SAMPL5_027, -2.21, 0.03, 1.4, -66.0, 0.1, -53.4, 0.1
SAMPL5_033, 3.82, 0.04, 1.4, -49.9, 0.1, -71.7, 0.2
SAMPL5_037, -4.68, 0.03, 1.4, -72.8, 0.1, -46.1, 0.1
SAMPL5_042, -1.36, 0.05, 1.4, -72.7, 0.2, -64.9, 0.2
SAMPL5_044, 2.55, 0.04, 1.4, -61.9, 0.1, -76.4, 0.2
SAMPL5_045, -1.98, 0.03, 1.4, -58.9, 0.1, -47.6, 0.1
SAMPL5_046, 1.97, 0.04, 1.4, -58.3, 0.1, -69.6, 0.2
SAMPL5_047, 3.23, 0.04, 1.4, -48.9, 0.1, -67.3, 0.2
SAMPL5_048, 1.13, 0.04, 1.4, -70.1, 0.1, -76.5, 0.2
SAMPL5_049, 2.20, 0.03, 1.4, -40.5, 0.1, -53.1, 0.2
SAMPL5_050, 1.20, 0.04, 1.4, -47.9, 0.2, -54.8, 0.1
SAMPL5_055, -0.53, 0.03, 1.4, -46.1, 0.1, -43.1, 0.1
SAMPL5_056, 2.69, 0.03, 1.4, -40.5, 0.1, -55.9, 0.2
SAMPL5_058, 0.94, 0.03, 1.4, -46.0, 0.1, -51.4, 0.2
SAMPL5_059, -0.66, 0.03, 1.4, -45.8, 0.1, -42.1, 0.1
SAMPL5_060, -3.70, 0.03, 1.4, -74.2, 0.1, -53.1, 0.1
SAMPL5_061, 1.89, 0.04, 1.4, -36.0, 0.1, -46.8, 0.2
SAMPL5_063, -3.71, 0.03, 1.4, -74.5, 0.1, -53.3, 0.2
SAMPL5_065, 2.72, 0.06, 1.4, -117.6, 0.2, -133.1, 0.3
SAMPL5_067, 2.80, 0.05, 1.4, -38.0, 0.2, -54.0, 0.2
SAMPL5_068, 4.29, 0.04, 1.4, -45.7, 0.1, -70.2, 0.2
SAMPL5_069, 2.90, 0.04, 1.4, -58.8, 0.1, -75.3, 0.2
SAMPL5_070, 4.74, 0.04, 1.4, -30.7, 0.1, -57.8, 0.2
SAMPL5_071, 0.79, 0.04, 1.4, -54.7, 0.1, -59.2, 0.2
SAMPL5_072, 3.54, 0.04, 1.4, -32.4, 0.1, -52.6, 0.2
SAMPL5_074, -3.76, 0.04, 1.4, -91.6, 0.2, -70.2, 0.2
SAMPL5_075, 2.61, 0.04, 1.4, -43.1, 0.2, -58.0, 0.2
SAMPL5_080, -3.76, 0.03, 1.4, -73.7, 0.1, -52.3, 0.1
SAMPL5_081, -2.12, 0.05, 1.4, -70.8, 0.2, -58.6, 0.2
SAMPL5_082, 6.56, 0.05, 1.4, -34.3, 0.2, -71.7, 0.2
SAMPL5_083, 1.21, 0.09, 1.4, -142.2, 0.3, -149.1, 0.4
SAMPL5_084, 3.24, 0.08, 1.4, -54.9, 0.4, -73.4, 0.2
SAMPL5_085, -2.03, 0.04, 1.4, -69.1, 0.1, -57.5, 0.2
SAMPL5_086, 3.04, 0.06, 1.4, -58.7, 0.2, -76.0, 0.2
SAMPL5_088, -0.04, 0.04, 1.4, -58.9, 0.1, -58.7, 0.2
SAMPL5_090, 4.32, 0.05, 1.4, -46.2, 0.2, -70.9, 0.2
SAMPL5_092, 1.52, 0.08, 1.4, -100.6, 0.3, -109.3, 0.3
