# Solvation Free Energy by box Size and coloumb interaction type
coloumb type, number of cyclohexanes, box edge (nm), dG, ddG 
pme, 100, 2.68, 18.834, 0.050
pme, 100, 2.64, 18.982, 0.053
pme, 120, 2.81, 19.311, 0.050
pme, 120, 2.82, 19.219, 0.050
pme, 150, 3.03, 19.033, 0.049
pme, 150, 3.02, 19.141, 0.049
pme, 180, 3.22, 18.958, 0.055
pme, 200, 3.36, 19.079, 0.050
pme, 300, 3.83, 19.053, 0.050
pme, 400, 4.21, 19.012, 0.051
pme, 500, 4.54, 19.113, 0.049
rf, 100, 2.66, 19.028, 0.053
rf, 200, 3.35, 19.221, 0.051
rf, 300, 3.83, 19.132, 0.049
rf, 400, 4.22, 19.252, 0.050
rf, 500, 4.53, 19.276, 0.049
