Molecule, Log D +/-, HPD95%[low, high]
SAMPL5_002, 1.9+/-0.5, [0.97, 2.7]
SAMPL5_003, 2.4+/-0.3, [1.8, 3.1]
SAMPL5_004, 2.6+/-0.5, [1.7, 3.5]
SAMPL5_005, -0.5+/-0.3, [-1.1, 0.21]
SAMPL5_006, -0.6+/-0.3, [-1.3, 0.079]
SAMPL5_007, 1.8+/-0.5, [0.86, 2.7]
SAMPL5_010, -1.3+/-0.5, [-2.2, -0.25]
SAMPL5_011, -2.6+/-0.3, [-3.2, -1.8]
SAMPL5_013, -1.0+/-0.5, [-1.9, -0.012]
SAMPL5_015, -1.9+/-0.5, [-2.7, -0.83]
SAMPL5_017, 2.9+/-0.5, [2.0, 3.8]
SAMPL5_019, 1.8+/-0.5, [0.88, 2.7]
SAMPL5_020, 2.0+/-0.4, [1.2, 2.8]
SAMPL5_021, 1.6+/-0.5, [0.63, 2.5]
SAMPL5_024, 1.5+/-0.5, [0.51, 2.4]
SAMPL5_026, -2.2+/-0.5, [-3.1, -1.2]
SAMPL5_027, -1.5+/-0.4, [-2.1, -0.76]
SAMPL5_033, 2.2+/-0.5, [1.3, 3.2]
SAMPL5_037, -1.1+/-0.5, [-2.0, -0.17]
SAMPL5_042, -0.7+/-0.5, [-1.7, 0.22]
SAMPL5_044, 1.5+/-0.5, [0.54, 2.4]
SAMPL5_045, -1.7+/-0.5, [-2.6, -0.71]
SAMPL5_046, 0.6+/-0.5, [-0.31, 1.6]
SAMPL5_047, 0.0+/-0.5, [-0.87, 1.0]
SAMPL5_048, 1.4+/-0.5, [0.52, 2.4]
SAMPL5_049, 1.7+/-0.3, [1.0, 2.4]
SAMPL5_050, -3.0+/-0.5, [-4.0, -2.0]
SAMPL5_055, -1.1+/-0.3, [-1.8, -0.41]
SAMPL5_056, -2.1+/-0.5, [-2.9, -1.1]
SAMPL5_058, 1.2+/-0.3, [0.52, 1.9]
SAMPL5_059, -0.9+/-0.5, [-1.9, -0.016]
SAMPL5_060, -3.5+/-0.4, [-4.2, -2.8]
SAMPL5_061, -1.0+/-0.3, [-1.7, -0.36]
SAMPL5_063, -2.7+/-0.5, [-3.7, -1.8]
SAMPL5_065, 1.1+/-0.5, [0.13, 2.0]
SAMPL5_067, -0.9+/-0.5, [-1.8, 0.056]
SAMPL5_068, 1.8+/-0.5, [0.87, 2.8]
SAMPL5_069, -0.8+/-0.5, [-1.8, 0.17]
SAMPL5_070, 2.0+/-0.5, [1.1, 3.0]
SAMPL5_071, 0.4+/-0.5, [-0.58, 1.3]
SAMPL5_072, 1.0+/-0.5, [0.11, 1.9]
SAMPL5_074, -1.5+/-0.5, [-2.4, -0.59]
SAMPL5_075, -2.4+/-0.5, [-3.3, -1.4]
SAMPL5_080, -1.8+/-0.5, [-2.8, -0.91]
SAMPL5_081, -1.8+/-0.5, [-2.7, -0.81]
SAMPL5_082, 2.9+/-0.5, [2.0, 3.8]
SAMPL5_083, -1.6+/-0.5, [-2.5, -0.62]
SAMPL5_084, 0.4+/-0.5, [-0.59, 1.3]
SAMPL5_085, -1.9+/-0.5, [-2.8, -0.93]
SAMPL5_086, 1.1+/-0.3, [0.40, 1.8]
SAMPL5_088, -1.5+/-0.5, [-2.5, -0.60]
SAMPL5_090, 1.2+/-0.5, [0.19, 2.1]
SAMPL5_092, 0.0+/-0.5, [-0.97, 0.91]
