# Corrections such that logD = logP + correction
SAMPL5_5,	 Pickard,	 Epik
SAMPL5_002,	  0.000,	  -0.000
SAMPL5_003,	  0.000,	  0.000
SAMPL5_004,	  -0.002,	  -0.038
SAMPL5_005,	  0.000,	  -0.033
SAMPL5_006,	  0.000,	  -0.011
SAMPL5_007,	  0.000,	  -0.000
SAMPL5_010,	  -2.050,	  -3.337
SAMPL5_011,	  -2.894,	  -3.023
SAMPL5_013,	  0.000,	  -0.000
SAMPL5_015,	  -2.780,	  -3.168
SAMPL5_017,	  -0.000,	  -1.148
SAMPL5_019,	  0.000,	  -0.004
SAMPL5_020,	  0.000,	  -0.001
SAMPL5_021,	  0.000,	  -0.001
SAMPL5_024,	  0.000,	  -0.010
SAMPL5_026,	  -1.040,	  -3.387
SAMPL5_027,	  0.000,	  0.000
SAMPL5_033,	  0.000,	  0.000
SAMPL5_037,	  -0.005,	  -0.571
SAMPL5_042,	  0.000,	  -0.024
SAMPL5_044,	  0.000,	  0.000
SAMPL5_045,	  0.000,	  0.000
SAMPL5_046,	  0.000,	  -0.001
SAMPL5_047,	  -1.019,	  0.000
SAMPL5_048,	  0.000,	  0.000
SAMPL5_049,	  -0.000,	  0.000
SAMPL5_050,	  -6.315,	  -11.902
SAMPL5_055,	  0.000,	  0.000
SAMPL5_056,	  -2.912,	  -4.923
SAMPL5_058,	  0.000,	  0.000
SAMPL5_059,	  0.000,	  0.000
SAMPL5_060,	  -0.955,	  -4.444
SAMPL5_061,	  -0.001,	  -0.508
SAMPL5_063,	  -2.447,	  -6.087
SAMPL5_065,	  -0.146,	  -0.868
SAMPL5_067,	  -1.061,	  -1.981
SAMPL5_068,	  0.000,	  0.000
SAMPL5_069,	  -0.128,	  -0.842
SAMPL5_070,	  -0.961,	  -1.817
SAMPL5_071,	  0.000,	  0.000
SAMPL5_072,	  -0.479,	  -1.229
SAMPL5_074,	  0.000,	  0.000
SAMPL5_075,	  -0.336,	  -1.981
SAMPL5_080,	  0.000,	  0.000
SAMPL5_081,	  -0.818,	  -1.981
SAMPL5_082,	  -0.315,	  -1.072
SAMPL5_083,	  0.000,	  -0.488
SAMPL5_084,	  -2.031,	  -1.425
SAMPL5_085,	  -0.057,	  -0.139
SAMPL5_086,	  -0.911,	  -1.583
SAMPL5_088,	  0.000,	  -0.013
SAMPL5_090,	  0.000,	  -0.000
SAMPL5_092,	  -0.000,	  -0.194
