SAMPL ID, acidic_pKa, basic_pKa 
SAMPL5_017, 8.93, 5.76
SAMPL5_058, None, -1.41
SAMPL5_059, 13.54, 3.11
SAMPL5_013, 7.37, 0.52
SAMPL5_010, 4.33, 6.62
SAMPL5_011, 4.57, 4.58
SAMPL5_074, 12.0, 3.97
SAMPL5_075, 13.32, 9.25
SAMPL5_050, -3.58, 2.83
SAMPL5_056, 3.26, 0.28
SAMPL5_071, 15.55, 4.02
SAMPL5_072, None, 8.53
SAMPL5_019, 13.18, 5.44
SAMPL5_061, None, 7.72
SAMPL5_015, 4.44, 5.81
SAMPL5_003, None, 2.96
SAMPL5_085, 7.8, 2.33
SAMPL5_084, 15.03, 8.72
SAMPL5_086, 11.73, 8.87
SAMPL5_081, 12.67, 9.25
SAMPL5_080, None, 1.37
SAMPL5_083, 7.41, 6.92
SAMPL5_082, None, 8.37
SAMPL5_027, 12.98, 4.24
SAMPL5_026, 4.23, -2.04
SAMPL5_024, 11.15, 5.86
SAMPL5_021, None, 4.92
SAMPL5_020, 9.74, 2.65
SAMPL5_049, 10.75, -0.31
SAMPL5_004, 13.92, 6.43
SAMPL5_007, 13.97, 4.57
SAMPL5_060, 3.75, 5.93
SAMPL5_067, 13.32, 9.25
SAMPL5_065, None, 8.15
SAMPL5_002, 11.05, 4.46
SAMPL5_070, None, 9.1
SAMPL5_069, 10.1, 8.1
SAMPL5_068, None, 0.83
SAMPL5_045, 11.72, 1.7
SAMPL5_044, 11.71, 0.78
SAMPL5_048, 11.23, 1.43
SAMPL5_046, 10.04, 1.7
SAMPL5_006, 10.9, 5.91
SAMPL5_063, 13.25, 9.69
SAMPL5_047, 11.35, -0.83
SAMPL5_055, 10.75, -0.75
SAMPL5_088, 14.6, 5.96
SAMPL5_092, None, 7.15
SAMPL5_090, None, 4.44
SAMPL5_005, 11.49, 6.37
SAMPL5_042, 8.57, 0.5
SAMPL5_033, 12.17, 2.72
SAMPL5_037, None, 7.81
