# Corrections such that logD = logP + correction
SAMPL5_5,	 Pickard,	 Epik
002,	  0.000,	  -0.000
003,	  0.000,	  0.000
004,	  -0.002,	  -0.038
005,	  0.000,	  -0.033
006,	  0.000,	  -0.011
007,	  0.000,	  -0.000
010,	  -2.050,	  -3.337
011,	  -2.894,	  -3.023
013,	  0.000,	  -0.000
015,	  -2.780,	  -3.168
017,	  -0.000,	  -1.148
019,	  0.000,	  -0.004
020,	  0.000,	  -0.001
021,	  0.000,	  -0.001
024,	  0.000,	  -0.010
026,	  -1.040,	  -3.387
027,	  0.000,	  0.000
033,	  0.000,	  0.000
037,	  -0.005,	  -0.571
042,	  0.000,	  -0.024
044,	  0.000,	  0.000
045,	  0.000,	  0.000
046,	  0.000,	  -0.001
047,	  -1.019,	  0.000
048,	  0.000,	  0.000
049,	  -0.000,	  0.000
050,	  -6.315,	  -11.902
055,	  0.000,	  0.000
056,	  -2.912,	  -4.923
058,	  0.000,	  0.000
059,	  0.000,	  0.000
060,	  -0.955,	  -4.444
061,	  -0.001,	  -0.508
063,	  -2.447,	  -6.087
065,	  -0.146,	  -0.868
067,	  -1.061,	  -1.981
068,	  0.000,	  0.000
069,	  -0.128,	  -0.842
070,	  -0.961,	  -1.817
071,	  0.000,	  0.000
072,	  -0.479,	  -1.229
074,	  0.000,	  0.000
075,	  -0.336,	  -1.981
080,	  0.000,	  0.000
081,	  -0.818,	  -1.981
082,	  -0.315,	  -1.072
083,	  0.000,	  -0.488
084,	  -2.031,	  -1.425
085,	  -0.057,	  -0.139
086,	  -0.911,	  -1.583
088,	  0.000,	  -0.013
090,	  0.000,	  -0.000
092,	  -0.000,	  -0.194
