SAMPL ID, logP, basic pKa, acidic pKa, largest pKa, Epik penalty, Pickard penalty, experiment
SAMPL5_017, 6.25, 6.24, 6.24, 6.24, 5.10, 6.25, 2.50
SAMPL5_058, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.80
SAMPL5_059, -0.66, -0.66, -0.66, -0.66, -0.66, -0.66, -1.30
SAMPL5_013, 1.10, 1.10, 0.79, 0.79, 1.10, 1.10, -1.50
SAMPL5_010, -1.39, -1.46, -4.46, -4.46, -4.73, -3.44, -1.70
SAMPL5_011, 1.72, 1.72, -1.11, -1.11, -1.30, -1.18, -2.96
SAMPL5_074, -3.76, -3.76, -3.76, -3.76, -3.76, -3.76, -1.90
SAMPL5_075, 2.61, 0.75, 2.61, 0.75, 0.63, 2.27, -2.80
SAMPL5_050, 1.20, 1.20, -9.78, -9.78, -10.70, -5.12, -3.20
SAMPL5_056, 2.69, 2.69, -1.45, -1.45, -2.23, -0.22, -2.50
SAMPL5_071, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, -0.10
SAMPL5_072, 3.54, 2.38, 3.54, 2.38, 2.31, 3.06, 0.60
SAMPL5_019, 2.88, 2.88, 2.88, 2.88, 2.88, 2.88, 1.20
SAMPL5_061, 1.89, 1.40, 1.89, 1.40, 1.39, 1.89, -1.45
SAMPL5_015, -0.84, -0.85, -3.80, -3.80, -4.01, -3.62, -2.20
SAMPL5_003, 1.98, 1.98, 1.98, 1.98, 1.98, 1.98, 1.90
SAMPL5_085, -2.03, -2.03, -2.18, -2.18, -2.17, -2.09, -2.20
SAMPL5_084, 3.24, 1.89, 3.24, 1.89, 1.81, 1.20, -0.00
SAMPL5_086, 3.04, 1.56, 3.04, 1.56, 1.46, 2.13, 0.70
SAMPL5_081, -2.12, -3.98, -2.12, -3.98, -4.10, -2.94, -2.20
SAMPL5_080, -3.76, -3.76, -3.76, -3.76, -3.76, -3.76, -2.20
SAMPL5_083, 1.21, 1.08, 0.91, 0.91, 0.72, 1.21, -1.90
SAMPL5_082, 6.56, 5.55, 6.56, 5.55, 5.49, 6.24, 2.50
SAMPL5_027, -2.21, -2.21, -2.21, -2.21, -2.21, -2.21, -1.87
SAMPL5_026, -1.71, -1.71, -4.88, -4.88, -5.10, -2.75, -2.60
SAMPL5_024, 0.49, 0.48, 0.49, 0.48, 0.48, 0.49, 1.00
SAMPL5_021, 3.30, 3.30, 3.30, 3.30, 3.30, 3.30, 1.20
SAMPL5_020, -3.85, -3.85, -3.85, -3.85, -3.85, -3.85, 1.60
SAMPL5_049, 2.20, 2.20, 2.20, 2.20, 2.20, 2.20, 1.30
SAMPL5_004, 4.50, 4.45, 4.50, 4.45, 4.46, 4.50, 2.20
SAMPL5_007, 4.64, 4.64, 4.64, 4.64, 4.64, 4.64, 1.40
SAMPL5_060, -3.70, -3.71, -7.35, -7.35, -8.14, -4.65, -3.90
SAMPL5_067, 2.80, 0.94, 2.80, 0.94, 0.82, 1.74, -1.30
SAMPL5_065, 2.72, 1.90, 2.72, 1.90, 1.85, 2.58, 0.70
SAMPL5_002, 2.16, 2.16, 2.16, 2.16, 2.16, 2.16, 1.40
SAMPL5_070, 4.74, 3.03, 4.74, 3.03, 2.92, 3.78, 1.60
SAMPL5_069, 2.90, 2.12, 2.90, 2.12, 2.05, 2.77, -1.30
SAMPL5_068, 4.29, 4.29, 4.29, 4.29, 4.29, 4.29, 1.40
SAMPL5_045, -1.98, -1.98, -1.98, -1.98, -1.98, -1.98, -2.10
SAMPL5_044, 2.55, 2.55, 2.55, 2.55, 2.55, 2.55, 1.00
SAMPL5_048, 1.13, 1.13, 1.13, 1.13, 1.13, 1.13, 0.90
SAMPL5_046, 1.97, 1.97, 1.97, 1.97, 1.97, 1.97, 0.20
SAMPL5_006, 1.34, 1.33, 1.34, 1.33, 1.33, 1.34, -1.02
SAMPL5_063, -3.71, -6.01, -3.71, -6.01, -9.80, -6.16, -3.00
SAMPL5_047, 3.23, 3.23, 3.23, 3.23, 3.23, 2.22, -0.40
SAMPL5_055, -0.53, -0.53, -0.53, -0.53, -0.53, -0.53, -1.50
SAMPL5_088, -0.04, -0.06, -0.04, -0.06, -0.05, -0.04, -1.90
SAMPL5_092, 1.52, 1.33, 1.52, 1.33, 1.33, 1.52, -0.40
SAMPL5_090, 4.32, 4.32, 4.32, 4.32, 4.32, 4.32, 0.80
SAMPL5_005, 1.04, 1.00, 1.04, 1.00, 1.01, 1.04, -0.86
SAMPL5_042, -1.36, -1.36, -1.39, -1.39, -1.38, -1.36, -1.10
SAMPL5_033, 3.82, 3.82, 3.82, 3.82, 3.82, 3.82, 1.80
SAMPL5_037, -4.68, -5.23, -4.68, -5.23, -5.25, -4.68, -1.50
